url,popularity_score,metascore,oscars
https://www.imdb.com/title/tt0040897/?ref_=chttp_t_167,N/A,98,Won 3 Oscars
https://www.imdb.com/title/tt0118849/?ref_=chttp_t_168,N/A,77,Nominated for 1 Oscar
https://www.imdb.com/title/tt0049902/?ref_=chttp_t_169,N/A,N/A,Nominated for 1 BAFTA Award
https://www.imdb.com/title/tt0012349/?ref_=chttp_t_170,N/A,N/A,Awards
https://www.imdb.com/title/tt0476735/?ref_=chttp_t_171,N/A,N/A,Awards
https://www.imdb.com/title/tt0015324/?ref_=chttp_t_172,N/A,N/A,Awards
https://www.imdb.com/title/tt0032138/?ref_=chttp_t_173,223,92,Won 2 Oscars
https://www.imdb.com/title/tt0325980/?ref_=chttp_t_174,276,63,Nominated for 5 Oscars
https://www.imdb.com/title/tt0097165/?ref_=chttp_t_175,297,79,Won 1 Oscar
https://www.imdb.com/title/tt0091763/?ref_=chttp_t_176,300,92,Won 4 Oscars
https://www.imdb.com/title/tt1392190/?ref_=chttp_t_177,311,90,Won 6 Oscars
https://www.imdb.com/title/tt0434409/?ref_=chttp_t_178,313,62,Awards
https://www.imdb.com/title/tt3315342/?ref_=chttp_t_179,324,77,Nominated for 1 Oscar
https://www.imdb.com/title/tt1201607/?ref_=chttp_t_180,352,85,Nominated for 3 Oscars
https://www.imdb.com/title/tt0264464/?ref_=chttp_t_181,359,75,Nominated for 2 Oscars
https://www.imdb.com/title/tt2096673/?ref_=chttp_t_182,364,94,Won 1 Oscar
https://www.imdb.com/title/tt2267998/?ref_=chttp_t_183,378,79,Nominated for 1 Oscar
https://www.imdb.com/title/tt0088247/?ref_=chttp_t_184,391,84,Awards
https://www.imdb.com/title/tt0083658/?ref_=chttp_t_185,409,84,Nominated for 2 Oscars
https://www.imdb.com/title/tt2278388/?ref_=chttp_t_186,442,88,Won 4 Oscars
https://www.imdb.com/title/tt4016934/?ref_=chttp_t_187,446,85,Won 1 BAFTA Award
https://www.imdb.com/title/tt0382932/?ref_=chttp_t_188,460,96,Won 1 Oscar
https://www.imdb.com/title/tt2119532/?ref_=chttp_t_189,484,71,Won 2 Oscars
https://www.imdb.com/title/tt0092005/?ref_=chttp_t_190,501,75,Nominated for 1 Oscar
https://www.imdb.com/title/tt1454029/?ref_=chttp_t_191,508,62,Won 1 Oscar
https://www.imdb.com/title/tt0118715/?ref_=chttp_t_192,530,71,Awards
https://www.imdb.com/title/tt0073195/?ref_=chttp_t_193,553,87,Won 3 Oscars
https://www.imdb.com/title/tt0070047/?ref_=chttp_t_194,643,83,Won 2 Oscars
https://www.imdb.com/title/tt0117951/?ref_=chttp_t_195,718,83,Nominated for 1 Oscar
https://www.imdb.com/title/tt0892769/?ref_=chttp_t_196,725,75,Nominated for 2 Oscars
https://www.imdb.com/title/tt1950186/?ref_=chttp_t_197,763,81,Won 2 Oscars
https://www.imdb.com/title/tt0353969/?ref_=chttp_t_198,767,82,Awards
https://www.imdb.com/title/tt0116282/?ref_=chttp_t_199,784,88,Won 2 Oscars
https://www.imdb.com/title/tt0059742/?ref_=chttp_t_200,794,63,Won 5 Oscars
https://www.imdb.com/title/tt0077416/?ref_=chttp_t_201,873,90,Won 5 Oscars
https://www.imdb.com/title/tt0075148/?ref_=chttp_t_202,882,70,Won 3 Oscars
https://www.imdb.com/title/tt1291584/?ref_=chttp_t_203,887,71,Nominated for 1 Oscar
https://www.imdb.com/title/tt0758758/?ref_=chttp_t_204,929,73,Nominated for 2 Oscars
https://www.imdb.com/title/tt0198781/?ref_=chttp_t_205,"1,011",79,Won 1 Oscar
https://www.imdb.com/title/tt2024544/?ref_=chttp_t_206,"1,016",96,Won 3 Oscars
https://www.imdb.com/title/tt0405159/?ref_=chttp_t_207,"1,028",86,Won 4 Oscars
https://www.imdb.com/title/tt0087884/?ref_=chttp_t_208,"1,044",81,Won 1 BAFTA Award
https://www.imdb.com/title/tt5027774/?ref_=chttp_t_209,"1,052",88,Won 2 Oscars
https://www.imdb.com/title/tt1895587/?ref_=chttp_t_210,"1,167",93,Won 2 Oscars
https://www.imdb.com/title/tt1979320/?ref_=chttp_t_211,"1,253",74,Won 1 BAFTA Award
https://www.imdb.com/title/tt0112471/?ref_=chttp_t_212,"1,274",78,Awards
https://www.imdb.com/title/tt0036868/?ref_=chttp_t_213,"1,304",93,Won 7 Oscars
https://www.imdb.com/title/tt0120735/?ref_=chttp_t_214,"1,411",67,Won 1 BAFTA Award
https://www.imdb.com/title/tt0071315/?ref_=chttp_t_215,"1,427",92,Won 1 Oscar
https://www.imdb.com/title/tt3170832/?ref_=chttp_t_216,"1,676",86,Won 1 Oscar
https://www.imdb.com/title/tt0072684/?ref_=chttp_t_217,"1,706",89,Won 4 Oscars
https://www.imdb.com/title/tt1205489/?ref_=chttp_t_218,"1,763",73,Awards
https://www.imdb.com/title/tt3011894/?ref_=chttp_t_219,"1,771",77,Nominated for 1 Oscar
https://www.imdb.com/title/tt0096283/?ref_=chttp_t_220,"1,870",87,Awards
https://www.imdb.com/title/tt5323662/?ref_=chttp_t_221,"1,898",78,Awards
https://www.imdb.com/title/tt0081398/?ref_=chttp_t_222,"2,029",90,Won 2 Oscars
