title,year,run_time,IMBD_rating_2024,url
165. The Secret in Their Eyes,2009,2h 9m,8.2,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_156
158. Monty Python and the Holy Grail,1975,1h 31m,8.2,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_157
137. The Father,2020,1h 37m,8.2,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_158
133. Some Like It Hot,1959,2h 1m,8.2,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_159
160. The Elephant Man,1980,2h 4m,8.2,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160
131. For a Few Dollars More,1965,2h 12m,8.2,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_161
139. All About Eve,1950,2h 18m,8.2,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_162
145. Ran,1985,2h 40m,8.2,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_163
162. Dial M for Murder,1954,1h 45m,8.2,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_164
161. Rashomon,1950,1h 28m,8.2,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_165
154. Yojimbo,1961,1h 50m,8.2,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_166
153. The Treasure of the Sierra Madre,1948,2h 6m,8.2,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_167
184. Children of Heaven,1997,1h 29m,8.2,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_168
231. A Man Escaped,1956,1h 41m,8.2,https://www.imdb.com/title/tt0049902/?ref_=chttp_t_169
136. The Kid,1921,1h 8m,8.2,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_170
237. My Father and My Son,2005,1h 52m,8.2,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_171
203. Sherlock Jr.,1924,45m,8.2,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_172
232. The Wizard of Oz,1939,1h 42m,8.1,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_173
222. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_174
191. Dead Poets Society,1989,2h 8m,8.1,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_175
221. Platoon,1986,2h,8.1,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_176
182. Mad Max: Fury Road,2015,2h,8.1,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_177
168. V for Vendetta,2005,2h 12m,8.1,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_178
212. Logan,2017,2h 17m,8.1,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_179
179. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_180
174. Catch Me If You Can,2002,2h 21m,8.1,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_181
167. Inside Out,2015,1h 35m,8.1,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_182
192. Gone Girl,2014,2h 29m,8.1,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_183
219. The Terminator,1984,1h 47m,8.1,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_184
187. Blade Runner,1982,1h 57m,8.1,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_185
189. The Grand Budapest Hotel,2014,1h 39m,8.1,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_186
239. The Handmaiden,2016,2h 25m,8.1,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_187
199. Ratatouille,2007,1h 51m,8.1,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_188
190. Hacksaw Ridge,2016,2h 19m,8.1,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_189
234. Stand by Me,1986,1h 29m,8.1,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_190
247. The Help,2011,2h 26m,8.1,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_191
215. The Big Lebowski,1998,1h 57m,8.1,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_192
202. Jaws,1975,2h 4m,8.1,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_193
228. The Exorcist,1973,2h 2m,8.1,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_194
172. Trainspotting,1996,1h 33m,8.1,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_195
201. How to Train Your Dragon,2010,1h 38m,8.1,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_196
208. Ford v Ferrari,2019,2h 32m,8.1,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_197
193. Memories of Murder,2003,2h 12m,8.1,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_198
175. Fargo,1996,1h 38m,8.1,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_199
236. The Sound of Music,1965,2h 52m,8.1,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_200
200. The Deer Hunter,1978,3h 3m,8.1,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_201
213. Rocky,1976,2h,8.1,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_202
176. Warrior,2011,2h 20m,8.1,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_203
240. Into the Wild,2007,2h 28m,8.1,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_204
"197. Monsters, Inc.",2001,1h 32m,8.1,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_205
186. 12 Years a Slave,2013,2h 14m,8.1,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_206
180. Million Dollar Baby,2004,2h 12m,8.1,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_207
"250. Paris, Texas",1984,2h 25m,8.1,https://www.imdb.com/title/tt0087884/?ref_=chttp_t_208
"169. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_209
218. Spotlight,2015,2h 9m,8.1,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_210
229. Rush,2013,2h 3m,8.1,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_211
188. Before Sunrise,1995,1h 41m,8.1,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_212
227. The Best Years of Our Lives,1946,2h 50m,8.1,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_213
"166. Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_214
164. Chinatown,1974,2h 10m,8.1,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_215
217. Room,2015,1h 58m,8.1,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_216
